epoch,met_hours,pos_x_km,pos_y_km,pos_z_km,vel_x_kms,vel_y_kms,vel_z_kms,dist_km,alt_km,speed_kms,energy,h_mag,h_x,h_y,h_z,ecc,sma_km,inc_deg,visviva_kms,speed_residual,energy_residual,fpa_deg,accel_mag,jerk_mag,delta_speed,delta_energy,anomaly_score,anomaly_if,anomaly_score_if
2026-04-05T11:07:38.660,79.67833305555556,-117579.73224972036,-277893.7952302765,-152302.3591448677,-0.08598274481192,-0.69445969657167,-0.37684646597071,338002.904520797,331631.904520797,0.7947833424792075,-0.8634408333223356,65663.28483315499,-1044.5554711764853,-31214.131687482884,57760.31390101818,0.976287236439566,230820.93550421443,28.40055200516001,0.7947833424792075,0.0,3.937176123634648,75.8518852923025,3.3987405205199408e-06,1.8633094565810817e-11,-0.0008063588206931,4.803607310588376e-06,0.2000000745323782,False,0.00031221467153008664
2026-04-05T11:11:38.660,79.74499972222222,-117600.34264334178,-278060.3825285514,-152392.7572257803,-0.08577065259362,-0.6937679061533,-0.3764709420199,338187.7723641577,331816.7723641577,0.7939778854854966,-0.8634360274485602,65637.94156355142,-1043.5499445203022,-31202.285539005617,57737.92300867639,0.9763058927247906,230822.22025055985,28.40073156128855,0.7939778854854966,0.0,3.937180929508423,75.85071365167822,3.3947215841745386e-06,1.860621131920728e-11,-0.0008054569937108,4.805873775381997e-06,0.2000000744248453,False,0.00031221467153008664
2026-04-05T11:15:38.660,79.8116663888889,-117620.90221924146,-278226.8038813597,-152483.0652291822,-0.08555926382789,-0.69307681735638,-0.37609581988115,338372.4519203536,332001.4519203536,0.7931733279149608,-0.8634312193051501,65612.49416083666,-1042.539631114967,-31190.39084807723,57715.44004742197,0.9763246174214923,230823.5056179549,28.400912116431677,0.7931733279149609,-1.1102230246251563e-16,3.937185737651832,75.84955614923592,3.390712438790223e-06,1.8579623703260195e-11,-0.0008045575705358,4.808143410084398e-06,0.2000000743184949,False,0.014069583275455266
2026-04-05T11:19:38.660,79.87833305555556,-117641.41114627058,-278393.0594568553,-152573.28325138835,-0.08534857870529,-0.69238642822046,-0.37572109855624,338556.9434118025,332185.9434118025,0.7923696673719958,-0.8634264088890495,65586.94207240082,-1041.5245027349883,-31178.447357677447,57692.864528321006,0.9763434108394962,230824.79160723716,28.40109367780549,0.7923696673719958,0.0,3.937190548067933,75.84841294205519,3.386713051522651e-06,1.855333250926227e-11,-0.0008036605429649,4.810416100564652e-06,0.20000007421333,False,0.00031221467153008664
2026-04-05T11:23:38.660,79.94499972222222,-117661.86959332784,-278559.14942272205,-152663.41138847472,-0.0851385974313,-0.69169673679046,-0.37534677705064,338741.2470604582,332370.2470604582,0.7915669014691321,-0.863421596197337,65561.28474159681,-1040.5045309211273,-31166.45480891602,57670.19595886304,0.97636227329053,230826.07821920805,28.401276252699265,0.791566901469132,1.1102230246251563e-16,3.9371953607596457,75.84728418839144,3.3827233899438703e-06,1.852733848567998e-11,-0.0008027659028636,4.812691712485773e-06,0.200000074109354,False,0.022996676228465462
2026-04-05T11:27:38.660,80.01166638888888,-117682.2777293631,-278725.0739461752,-152753.4497362789,-0.08492932022638,-0.69100774111663,-0.37497285437339,338925.3630878128,332554.3630878128,0.7907650278269457,-0.8634167812272595,65535.52160770092,-1039.479687007246,-31154.41294100463,57647.433842930914,0.9763812050882394,230827.36545462423,28.40145984846754,0.7907650278269456,1.1102230246251563e-16,3.937200175729723,75.84617004768683,3.378743421842412e-06,1.850164260276089e-11,-0.0008018736421864,4.81497007753795e-06,0.2000000740065705,False,0.022996676228465462
2026-04-05T11:31:38.660,80.07833305555556,-117702.63572338084,-278890.8331939629,-152843.3983904012,-0.08472074732604,-0.69031943925453,-0.3745993295372,339109.29171489924,332738.29171489924,0.7899640440740902,-0.8634119639761713,65509.65210588357,-1038.4499420889042,-31142.321491253297,57624.57768076997,0.9764002065481976,230828.65331421368,28.40164447253981,0.7899640440740898,3.3306690738754696e-16,3.937204992980812,75.84507068058218,3.374773115287148e-06,1.847624569078056e-11,-0.0008009837528555,4.817251088251595e-06,0.200000073904983,False,0.08065215208195475
2026-04-05T11:35:38.660,80.14499972222222,-117722.94374444395,-279056.4273323672,-152933.25744620533,-0.0845128789809,-0.68963182926496,-0.37422620155832,339293.033162294,332922.033162294,0.789163947847178,-0.8634071444415925,65483.67566716599,-1037.4152670485346,-31130.180195041077,57601.626968954224,0.9764192779879226,230829.94179865997,28.40183013241314,0.7891639478471779,1.1102230246251563e-16,3.9372098125153903,75.84398624892813,3.370812438697016e-06,1.8451148631545504e-11,-0.0008000962269121,4.819534578759388e-06,0.2000000738045946,False,0.022996676228465462
2026-04-05T11:39:38.660,80.21166638888889,-117743.20196167732,-279221.85652720515,-153023.02699881935,-0.08430571545679,-0.68894490921392,-0.37385346945659,339476.5876501189,333105.5876501189,0.7883647367907746,-0.8634023226211811,65457.59171837677,-1036.3756325349823,-31117.988785801885,57578.58120034483,0.9764384197268964,230831.23090860996,28.402016835658493,0.7883647367907746,0.0,3.9372146343358017,75.84291691579945,3.366861360742104e-06,1.8426352374874928e-11,-0.0007992110564034,4.8218204113936736e-06,0.2000000737054095,False,0.00031221467153008664
2026-04-05T11:43:38.660,80.27833305555555,-117763.41054427136,-279387.1209438306,-153112.70714313653,-0.08409925703477,-0.68825867717255,-0.37348113225542,339659.9553980438,333288.9553980438,0.7875664085573351,-0.8633974985127452,65431.39968212785,-1035.3310089593724,-31105.746995014237,57555.43986406855,0.9764576320865692,230832.52064467035,28.40220458992214,0.7875664085573353,-2.220446049250313e-16,3.9372194584442375,75.84186284550321,3.3629198503865645e-06,1.840185789452681e-11,-0.0007983282334395,4.824108435941277e-06,0.2000000736074317,False,0.027093207149111564
